Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
Google Data Analytics,Google,https://www.coursera.org/professional-certificates/google-data-analytics,4.8,11,2468706,English,Beginner,Professional Certificate,3 - 6 Months,9,3,1,25,0,0
Google Cybersecurity,Google,https://www.coursera.org/professional-certificates/google-cybersecurity,4.8,11,759433,English,Beginner,Professional Certificate,3 - 6 Months,6,6,0,13,0,0
Google Project Management:,Google,https://www.coursera.org/professional-certificates/google-project-management,4.8,11,1807675,English,Beginner,Professional Certificate,3 - 6 Months,1,2,1,24,0,0
Google Digital Marketing & E-commerce,Google,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,4.8,11,831347,English,Beginner,Professional Certificate,3 - 6 Months,3,0,1,19,0,0
Google IT Support,Google,https://www.coursera.org/professional-certificates/google-it-support,4.8,11,1695991,English,Beginner,Professional Certificate,3 - 6 Months,2,6,2,19,0,0
Google UX Design,Google,https://www.coursera.org/professional-certificates/google-ux-design,4.8,11,1105689,English,Beginner,Professional Certificate,3 - 6 Months,1,1,0,11,0,0
Machine Learning,"DeepLearning.AI, Stanford University",https://www.coursera.org/specializations/machine-learning-introduction,4.9,21,533425,English,Beginner,Specialization,1 - 3 Months,6,2,2,17,0,0
Deep Learning,DeepLearning.AI,https://www.coursera.org/specializations/deep-learning,4.8,22,889704,English,Intermediate,Specialization,3 - 6 Months,11,3,4,24,0,0
Google AI Essentials,Google,https://www.coursera.org/learn/google-ai-essentials,4.7,11,897465,English,Beginner,Course,1 - 3 Months,1,0,1,1,0,12
IBM Data Science,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,4.6,24,657138,English,Beginner,Professional Certificate,3 - 6 Months,13,6,1,25,0,0
IBM Data Analyst,IBM,https://www.coursera.org/professional-certificates/ibm-data-analyst,4.6,24,322536,English,Beginner,Professional Certificate,3 - 6 Months,12,6,1,30,0,0
IBM Generative AI Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,4.6,24,2331,English,Beginner,Professional Certificate,3 - 6 Months,13,3,2,27,0,0
IBM AI Developer,IBM,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,4.6,24,137573,English,Beginner,Professional Certificate,3 - 6 Months,10,9,1,35,0,0
AI in Healthcare,Stanford University,https://www.coursera.org/specializations/ai-healthcare,4.7,22,42540,English,Beginner,Specialization,3 - 6 Months,5,0,1,5,0,0
IBM Full Stack Software Developer,IBM,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,4.6,25,187931,English,Beginner,Professional Certificate,3 - 6 Months,6,12,0,40,0,0
Data Science Foundations,"IBM, University of London, IBM",https://www.coursera.org/specializations/data-science-foundations,4.6,24,0,English,Beginner,Specialization,3 - 6 Months,9,4,0,14,0,0
Google Advanced Data Analytics,Google,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,4.7,11,145507,English,Advanced,Professional Certificate,3 - 6 Months,8,2,1,14,0,0
Google Prompting Essentials,Google,https://www.coursera.org/learn/google-prompting-essentials,4.7,0,13088,English,Beginner,Course,1 - 4 Weeks,7,0,0,11,0,12
Microsoft Power BI Data Analyst,Microsoft,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,4.6,22,220840,English,Beginner,Professional Certificate,3 - 6 Months,5,9,0,31,0,0
IBM DevOps and Software Engineering,IBM,https://www.coursera.org/professional-certificates/devops-and-software-engineering,4.6,25,82273,English,Beginner,Professional Certificate,3 - 6 Months,1,0,0,12,0,0
Foundations of Project Management,Google,https://www.coursera.org/learn/project-management-foundations,4.9,11,2149345,English,Beginner,Course,1 - 4 Weeks,5,0,0,8,4,11
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,4.8,23,1531067,English,Beginner,Course,1 - 4 Weeks,6,1,0,8,0,4
"Foundations: Data, Data, Everywhere",Google,https://www.coursera.org/learn/foundations-data,4.8,11,2929734,English,Beginner,Course,1 - 4 Weeks,9,5,2,18,8,9
Data Science Fundamentals with Python and SQL,IBM,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,4.6,24,55846,English,Beginner,Specialization,3 - 6 Months,0,0,0,1,0,0
IBM Back-End Development,IBM,https://www.coursera.org/professional-certificates/ibm-backend-development,4.6,24,21150,English,Beginner,Professional Certificate,3 - 6 Months,6,10,0,28,0,0
IBM Data Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-data-engineer,4.6,24,101323,English,Beginner,Professional Certificate,3 - 6 Months,11,8,0,32,0,0
Business Foundations,University of Pennsylvania,https://www.coursera.org/specializations/wharton-business-foundations,4.7,22,268190,English,Beginner,Specialization,3 - 6 Months,3,0,1,37,0,0
Foundations of Cybersecurity,Google,https://www.coursera.org/learn/foundations-of-cybersecurity,4.8,11,993872,English,Beginner,Course,1 - 4 Weeks,3,3,0,5,5,8
Introduction to Data Science,IBM,https://www.coursera.org/specializations/introduction-data-science,4.6,24,92413,English,Beginner,Specialization,3 - 6 Months,11,5,0,16,0,0
Applied Software Engineering Fundamentals,IBM,https://www.coursera.org/specializations/software-engineering-fundamentals,4.6,24,9664,English,Beginner,Specialization,3 - 6 Months,5,5,0,17,0,0
Meta Front-End Developer,Meta,https://www.coursera.org/professional-certificates/meta-front-end-developer,4.7,22,330579,English,Beginner,Professional Certificate,3 - 6 Months,3,10,1,23,0,0
Applied Data Science,IBM,https://www.coursera.org/specializations/applied-data-science,4.6,24,67388,English,Beginner,Specialization,3 - 6 Months,8,3,1,13,0,0
