URL,Languages Available,Enroll Information,Assignments Count,Taught Language
https://www.coursera.org/professional-certificates/google-data-analytics,11 languages available,"2,468,706 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-cybersecurity,11 languages available,"759,433 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-project-management,11 languages available,"1,807,675 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,11 languages available,"831,347 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-it-support,11 languages available,"1,695,991 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/google-ux-design,11 languages available,"1,105,689 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/machine-learning-introduction,21 languages available,"533,425 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/deep-learning,22 languages available,"889,704 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/google-ai-essentials,11 languages available,"897,465 already enrolled",12 assignments,Taught in English
https://www.coursera.org/professional-certificates/ibm-data-science,24 languages available,"657,138 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-data-analyst,24 languages available,"322,536 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,24 languages available,"2,331 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,24 languages available,"137,573 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/ai-healthcare,22 languages available,"42,540 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,25 languages available,"187,931 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/data-science-foundations,24 languages available,,Not available,Taught in English
https://www.coursera.org/professional-certificates/google-advanced-data-analytics,11 languages available,"145,507 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/google-prompting-essentials,Not available,"13,088 already enrolled",12 assignments,Taught in English
https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,22 languages available,"220,840 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/devops-and-software-engineering,25 languages available,"82,273 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/project-management-foundations,11 languages available,"2,149,345 already enrolled","4 quizzes, 11 assignments",Taught in English
https://www.coursera.org/learn/ai-for-everyone,23 languages available,"1,531,067 already enrolled",4 assignments,Taught in English
https://www.coursera.org/learn/foundations-data,11 languages available,"2,929,734 already enrolled","8 quizzes, 9 assignments",Taught in English
https://www.coursera.org/specializations/data-science-fundamentals-python-sql,24 languages available,"55,846 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-backend-development,24 languages available,"21,150 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-data-engineer,24 languages available,"101,323 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/wharton-business-foundations,22 languages available,"268,190 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/foundations-of-cybersecurity,11 languages available,"993,872 already enrolled","5 quizzes, 8 assignments",Taught in English
https://www.coursera.org/specializations/introduction-data-science,24 languages available,"92,413 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/software-engineering-fundamentals,24 languages available,"9,664 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/meta-front-end-developer,22 languages available,"330,579 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/applied-data-science,24 languages available,"67,388 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/machine-learning,21 languages available,"798,487 already enrolled",9 assignments,Taught in English
https://www.coursera.org/professional-certificates/google-it-automation,11 languages available,"742,554 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,24 languages available,"49,272 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-ai-product-manager,24 languages available,"15,151 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/data-analysis-visualization-foundations,24 languages available,"35,854 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/data-engineering-foundations,24 languages available,"15,887 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/facebook-social-media-marketing,22 languages available,"434,240 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/key-technologies-for-business,25 languages available,"20,760 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/digital-strategy,25 languages available,"6,629 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/finance-accounting,22 languages available,"73,734 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/generative-ai-for-software-development,Not available,"14,554 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,11 languages available,"1,122,158 already enrolled","7 quizzes, 9 assignments",Taught in English
https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,22 languages available,"46,082 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/data-engineering,Not available,"11,733 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/python,24 languages available,"1,714,797 already enrolled",Not available,Taught in English
https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,24 languages available,"14,517 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/generative-ai-with-llms,21 languages available,"321,518 already enrolled",3 assignments,Taught in English
https://www.coursera.org/specializations/ai-for-business-wharton,21 languages available,"33,628 already enrolled",Not available,Taught in English
https://www.coursera.org/specializations/ibm-ai-foundations-for-business,22 languages available,"20,077 already enrolled",Not available,Taught in English
https://www.coursera.org/learn/technical-support-fundamentals,11 languages available,"1,897,037 already enrolled","15 quizzes, 4 assignments",Taught in English
