Title,Organization,URL,Rating,Metadata,Skills
Google Data Analytics,Google,https://www.coursera.org/professional-certificates/google-data-analytics,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Data Analysis, R Programming, SQL, Spreadsheet Software, Business Analysis, Business Communication, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software"
Google Cybersecurity,Google,https://www.coursera.org/professional-certificates/google-cybersecurity,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Network Security, Python Programming, Linux, Cloud Computing, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL"
Google Project Management:,Google,https://www.coursera.org/professional-certificates/google-project-management,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement"
Google Digital Marketing & E-commerce,Google,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis"
Google IT Support,Google,https://www.coursera.org/professional-certificates/google-it-support,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Computer Networking, Network Analysis, Network Architecture, Networking Hardware, Network Model, Critical Thinking, Linux, Computer Architecture, Network Security, Human Computer Interaction, Problem Solving, Communication, Computer Programming, Cloud Computing, Leadership and Management, Operating Systems, System Security, Cryptography, Customer Support"
Google UX Design,Google,https://www.coursera.org/professional-certificates/google-ux-design,4.8,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: User Experience, User Experience Design, User Research, Audit, Human Computer Interaction, Planning, Product Design, Product Development, Visual Design, Web Design, Web Development Tools"
Machine Learning,"DeepLearning.AI, Stanford University",https://www.coursera.org/specializations/machine-learning-introduction,4.9,Beginner · Specialization · 1 - 3 Months,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Training, Reinforcement Learning"
Deep Learning,DeepLearning.AI,https://www.coursera.org/specializations/deep-learning,4.8,Intermediate · Specialization · 3 - 6 Months,"Skills you'll gain: Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Model, Exploratory Data Analysis, Organizational Development, Strategy, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus"
Google AI Essentials,Google,https://www.coursera.org/learn/google-ai-essentials,4.7,Beginner · Course · 1 - 3 Months,Skills you'll gain: Critical Thinking
IBM Data Science,IBM,https://www.coursera.org/professional-certificates/ibm-data-science,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Python Programming, Machine Learning, Data Science, R Programming, Data Analysis, Professional Development, Algorithms, Big Data, Cloud Computing, Computer Programming, Data Mining, Data Model, Data Visualization, Databases, Deep Learning, Exploratory Data Analysis, General Statistics, Human Learning, IBM Cloud, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, SQL, Writing"
IBM Data Analyst,IBM,https://www.coursera.org/professional-certificates/ibm-data-analyst,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Business Analysis, Business Communication, Communication, Databases, Human Resources, Planning, SQL, Data Management, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Big Data, Cloud Computing, Computer Programming, Data Visualization Software, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression"
IBM Generative AI Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Machine Learning, Algorithms, Artificial Neural Networks, Deep Learning, Human Learning, Machine Learning Algorithms, Applied Machine Learning, Machine Learning Software, Computer Vision, Network Model, Critical Thinking, Data Analysis, Natural Language Processing, Network Architecture, Application Development, Computer Programming, Python Programming, Software Testing, Data Visualization, Plot (Graphics), Probability & Statistics, Reinforcement Learning, Tensorflow, Data Science, Exploratory Data Analysis, General Statistics, Regression"
IBM AI Developer,IBM,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Natural Language Processing, Machine Learning Software, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Algorithms, Applied Machine Learning, Python Programming, Computer Programming, Cloud API, Cloud Applications, Computer Programming Tools, Human Computer Interaction, Application Development, Visualization (Computer Graphics), Critical Thinking, Software Engineering Tools, Software As A Service, Communication, Software Engineering, Data Analysis, Programming Principles, Software Architecture, Agile Software Development, Product Management, Software Testing, Software-Defined Networking, Web Development, Javascript, Data Science"
AI in Healthcare,Stanford University,https://www.coursera.org/specializations/ai-healthcare,4.7,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Machine Learning, Leadership and Management, Data Analysis, Critical Thinking, Data Mining"
IBM Full Stack Software Developer,IBM,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Cloud Computing, Cloud Applications, Computer Programming, IBM Cloud, Software Engineering, Javascript, Web Development, Application Development, Programming Principles, Software Engineering Tools, Cloud Infrastructure, Full-Stack Web Development, Cloud API, Cloud Management, Cloud Platforms, Agile Software Development, Cloud Storage, Communication, Computer Architecture, DevOps, Software Architecture, Software As A Service, Continuous Integration, Software Testing, Continuous Delivery, Docker (Software), Front-End Web Development, Leadership and Management, Product Management, Software-Defined Networking, Django (Web Framework), NoSQL, Collaboration, Python Programming, SQL, Computer Science, Data Analysis, Kubernetes, Mergers & Acquisitions, React (web framework)"
Data Science Foundations,"IBM, University of London, IBM",https://www.coursera.org/specializations/data-science-foundations,4.6,Beginner · Specialization · 3 - 6 Months,"Skills you'll gain: Data Science, Python Programming, R Programming, Big Data, Cloud Computing, Computer Programming, Correlation And Dependence, Data Analysis, Data Mining, Deep Learning, IBM Cloud, Machine Learning, Regression, Writing"
Google Advanced Data Analytics,Google,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,4.7,Advanced · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software"
Google Prompting Essentials,Google,https://www.coursera.org/learn/google-prompting-essentials,4.7,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL"
Microsoft Power BI Data Analyst,Microsoft,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Software Engineering, DevOps, Computer Programming, Application Development, Cloud Computing, Software Testing, Agile Software Development, Continuous Integration, Security Engineering, Continuous Delivery, Programming Principles, Software Engineering Tools, Cloud Applications, Software Architecture, Communication, Software Security, Cloud Storage, Kubernetes, Product Management, Scrum (Software Development), Software-Defined Networking, IBM Cloud, Linux, Cloud Infrastructure, Collaboration, Docker (Software), Leadership and Management, Python Programming, Cloud Platforms, Data Analysis, Mergers & Acquisitions"
IBM DevOps and Software Engineering,IBM,https://www.coursera.org/professional-certificates/devops-and-software-engineering,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Project Management, Strategy and Operations, Business Communication, Change Management, Organizational Development, Communication, Culture, Emotional Intelligence, Influencing, Leadership and Management, People Management, Planning"
Foundations of Project Management,Google,https://www.coursera.org/learn/project-management-foundations,4.9,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management"
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,4.8,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Data Analysis, Data Visualization, SQL, Business Analysis, Spreadsheet Software, Data Science, Databases, Microsoft Excel"
"Foundations: Data, Data, Everywhere",Google,https://www.coursera.org/learn/foundations-data,4.8,Beginner · Course · 1 - 4 Weeks,"Skills you'll gain: Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Python Programming, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Data Science, Data Visualization, Probability Distribution, R Programming, Computer Programming, Cloud Computing, Databases, IBM Cloud, SQL"
Data Science Fundamentals with Python and SQL,IBM,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,4.6,Beginner · Specialization · 3 - 6 Months,
IBM Back-End Development,IBM,https://www.coursera.org/professional-certificates/ibm-backend-development,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Software Engineering, Application Development, Computer Programming, Security Engineering, Software Engineering Tools, Programming Principles, Software Architecture, Agile Software Development, Communication, DevOps, Software Security, Software Testing, Cloud Applications, Product Management, Software-Defined Networking, IBM Cloud, Linux, Cloud Computing, Collaboration, Docker (Software), Leadership and Management, Python Programming, Web Development, Data Analysis, Django (Web Framework), Kubernetes, Mergers & Acquisitions, SQL"
IBM Data Engineering,IBM,https://www.coursera.org/professional-certificates/ibm-data-engineer,4.6,Beginner · Professional Certificate · 3 - 6 Months,"Skills you'll gain: Data Management, Apache, Databases, Extract, Transform, Load, Big Data, Data Engineering, Database Administration, Distributed Computing Architecture, Machine Learning, Data Warehousing, Data Architecture, Kubernetes, NoSQL, SQL, Cloud Applications, Cloud Computing, Cloud Storage, Data Visualization, Leadership and Management, Python Programming, Data Analysis, IBM Cloud, Network Security, Linux, Business Intelligence, Computer Programming, Data Visualization Software, Statistical Programming, Data Science, PostgreSQL"
